reward phase, end-to-end, proof phase e2e - reward phaseÏ
 16.468936, 16.843975999999998, 0.3750399999999985 
 16.466889000000002, 16.862741999999997, 0.39585299999999535 
 16.594377, 17.0011, 0.4067229999999995 
 16.635677, 17.015376000000003, 0.37969900000000223 
 16.666201, 17.049329999999998, 0.3831289999999967 
 17.032297, 17.418905000000002, 0.3866080000000025 
 17.016211, 17.412111000000003, 0.3959000000000046 
 17.321083, 17.698238000000003, 0.3771550000000019 
 17.476402, 17.860433999999998, 0.3840319999999977 
 17.66529, 18.071178000000003, 0.40588800000000447 
 17.687601, 18.083171999999998, 0.3955709999999968 
 17.658749999999998, 18.067954999999998, 0.40920500000000004 
 17.951315, 18.34353, 0.3922150000000002 
 18.095942, 18.474792, 0.3788499999999999 
 18.046712, 18.423944, 0.37723199999999935 
 18.211331, 18.599941, 0.3886099999999999 
 18.164904999999997, 18.573839999999997, 0.4089349999999996 
 18.226042999999997, 18.589345, 0.36330200000000445 
 18.331894, 18.775835, 0.44394100000000236 
 18.263028, 18.710475000000002, 0.4474470000000039 
 18.416361000000002, 18.808979, 0.3926179999999988 
 18.494009, 18.873220000000003, 0.37921100000000507 
 18.481610000000003, 18.86173, 0.380119999999998 
 18.762824000000002, 19.168695999999997, 0.4058719999999951 
 18.488836, 18.855949000000003, 0.36711300000000335 
 18.433096, 18.81483, 0.38173400000000157 
 18.306672, 18.700111999999997, 0.39343999999999824 
 18.386713999999998, 18.76708, 0.3803660000000022 
 18.283364, 18.664132000000002, 0.3807680000000033 
 18.178497, 18.560226999999998, 0.38172999999999746 
 18.429335000000002, 18.803780000000003, 0.37444500000000147 
 18.348013, 18.734685, 0.38667199999999724 
 18.192500000000003, 18.605099000000003, 0.41259900000000016 
 17.998222, 18.405152, 0.4069300000000027 
 17.961405, 18.338198, 0.37679299999999927 
 18.290154, 18.70084, 0.41068599999999833 
 18.369824, 18.775456, 0.4056319999999971 
 18.171625, 18.564275000000002, 0.3926500000000033 
 17.898518000000003, 18.299705000000003, 0.4011870000000002 
 18.195872, 18.588859999999997, 0.39298799999999545 
 17.831628000000002, 18.220354, 0.38872599999999835 
 17.203699, 17.596237000000002, 0.39253800000000183 
 17.38915, 17.786035, 0.3968849999999975 
 17.37567, 17.755245000000002, 0.37957500000000266 
 19.108507000000003, 19.50989, 0.4013829999999956 
 17.059483, 17.443326, 0.3838429999999988 
 18.383352000000002, 19.822519, 1.4391669999999976 
 18.437983000000003, 18.903334, 0.4653509999999983 
 19.340834, 19.779488999999998, 0.43865499999999713 
 18.674611, 19.051161, 0.3765500000000017 
