reward phase, end-to-end, proof phase e2e - reward phase
1.4411500000000004, 1.8619640000000004, 0.420814 
1.4068620000000003, 1.8123439999999995, 0.40548199999999923  
1.42197, 1.8054279999999991, 0.3834579999999992 
1.4841949999999997, 1.8453470000000003, 0.3611520000000006 
1.4594190000000005, 1.8362370000000006, 0.3768180000000001  
1.4760679999999997, 1.859299, 0.3832310000000003 
1.4589409999999994, 1.8812770000000008, 0.4223360000000014 
1.4287080000000003, 1.7953669999999988, 0.3666589999999985 
1.4589409999999994, 1.8812770000000008, 0.4223360000000014 
1.5117329999999995, 1.9259489999999992, 0.4142159999999997
