reward phase, end-to-end, proof phase e2e - reward phaseÏ
 36.088257, 36.458519, 0.37026200000000387 
 36.484258, 36.853111, 0.36885300000000143 
 36.53583, 36.938153, 0.40232300000000265 
 36.566242, 36.944271, 0.37802899999999795 
 36.659441, 37.040355, 0.3809139999999971 
 36.622702, 37.010281, 0.38757900000000234 
 36.777464, 37.16218, 0.3847159999999974 
 36.833217, 37.218888, 0.3856710000000021 
 37.079156, 37.5392, 0.46004400000000345 
 37.228701, 37.631044, 0.4023430000000019 
 37.488203, 37.898976, 0.41077299999999894 
 37.445395, 37.849649, 0.40425400000000167 
 37.575099, 37.969646, 0.39454699999999576 
 37.790004, 38.206188, 0.4161839999999941 
 37.774831, 38.168184, 0.3933529999999976 
 37.874408, 38.248635, 0.37422699999999764 
 37.954748, 38.368354, 0.41360599999999437 
 37.953746, 38.336334, 0.3825879999999984 
 38.29461, 38.682188, 0.38757799999999776 
 38.166902, 38.557763, 0.390861000000001 
 38.31351, 38.702101, 0.38859099999999813 
 38.209613, 38.601522, 0.3919090000000054 
 38.130801, 38.541985, 0.41118399999999866 
 38.184166, 38.570136, 0.38597000000000037 
 38.343842, 38.771134, 0.42729200000000134 
 38.202578, 38.585994, 0.38341599999999687 
 38.375351, 38.758823, 0.3834719999999976 
 38.301215, 38.676817, 0.37560200000000066 
 38.504085, 38.896345, 0.39225999999999317 
 38.371465, 38.767104, 0.39563900000000274 
 39.475957, 39.873148, 0.3971909999999994 
 38.402821, 38.783795, 0.3809739999999948 
 38.485479, 38.865878, 0.38039900000000415 
 38.38959, 39.120599999999996, 0.7310099999999977 
 38.414908, 38.788059, 0.373151 
 38.400937, 38.802869, 0.4019320000000022 
 38.265385, 38.658692, 0.3933070000000001 
 38.675261, 39.061752999999996, 0.38649199999999695 
 38.234126, 38.641048, 0.40692199999999445 
 38.267533, 38.674189, 0.40665599999999813 
 37.919983, 38.314646, 0.3946630000000013 
 38.41515, 38.805089, 0.38993900000000536 
 38.101979, 38.510197, 0.40821799999999797 
 38.157093, 38.578026, 0.420932999999998 
 38.039661, 38.451118, 0.41145699999999863 
 37.780787, 38.197781, 0.41699400000000253 
 37.728554, 38.124182, 0.395627999999995 
 38.916567, 39.332404999999994, 0.4158379999999937 
