group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
client_side,1. reward request 64 ads catalog),,,,103763437.0,ns,4
client_side,1. reward request 64 ads catalog),,,,216558994.0,ns,8
client_side,1. reward request 64 ads catalog),,,,362009397.0,ns,12
client_side,1. reward request 64 ads catalog),,,,419734190.0,ns,16
client_side,1. reward request 64 ads catalog),,,,525046864.0,ns,20
client_side,1. reward request 64 ads catalog),,,,631223553.0,ns,24
client_side,1. reward request 64 ads catalog),,,,710985493.0,ns,28
client_side,1. reward request 64 ads catalog),,,,856464548.0,ns,32
client_side,1. reward request 64 ads catalog),,,,905349394.0,ns,36
client_side,1. reward request 64 ads catalog),,,,989036379.0,ns,40
